"","X","GEO.display.label","PROP_BA_2010","PROP_BA_2011","PROP_BA_2012","PROP_BA_2013","PROP_BA_2009","PROP_MHI_2010","PROP_MHI_2011","PROP_MHI_2012","PROP_MHI_2013","PROP_MHI_2009","PROP_MHV_2010","PROP_MHV_2011","PROP_MHV_2012","PROP_MHV_2013","PROP_MHV_2009","PERC_MHI_2009","PERC_MHV_2009","PERC_MHV_INCREASE","PERC_BA_2013","eligable","gentrified"
"1",1,"Census Tract 1",67.5,68.9,68.9,79,0.329765047135605,109947,136842,136842,146161,122455,1e+06,1e+06,1e+06,1e+06,1e+06,0.938271604938272,0.987654320987654,0.481481481481481,0.907407407407407,0,0
"2",2,"Census Tract 10.01",27.5,19.2,19.2,21.6,0.266666553710607,142697,147500,147500,156786,136121,836900,844400,844400,846600,817700,0.95679012345679,0.919753086419753,0.641975308641975,0.512345679012346,0,0
"3",3,"Census Tract 10.02",35.8,32.9,32.9,15.2,0.237334912536443,85543,89119,89119,84063,84310,453100,463600,463600,436000,437000,0.734567901234568,0.567901234567901,0.45679012345679,0.425925925925926,0,0
"4",4,"Census Tract 11",43.1,40.9,40.9,60.1,0.303644328401509,141607,128909,128909,129118,154340,784400,826700,826700,849500,805100,0.975308641975309,0.907407407407407,0.722222222222222,0.783950617283951,0,1
"5",5,"Census Tract 12",66.7,77.6,77.6,72,0.325019364092756,93785,109405,109405,105262,110625,728000,760100,760100,762500,738100,0.895061728395062,0.87037037037037,0.623456790123457,0.858024691358025,0,0
"6",6,"Census Tract 13.01",77,70.6,70.6,68.8,0.267904788574629,88981,79098,79098,109567,101366,1e+06,1e+06,1e+06,1e+06,982100,0.858024691358025,0.975308641975309,0.561728395061728,0.839506172839506,0,0
"7",7,"Census Tract 13.02",88.7,80.8,80.8,62.9,0.344157715260017,78961,78140,78140,83583,79223,422100,408800,408800,407400,383000,0.703703703703704,0.450617283950617,0.734567901234568,0.802469135802469,0,1
"8",8,"Census Tract 14.01",53.8,41.9,41.9,47.9,0.316970409404135,109609,126576,126576,120417,103529,922000,905800,905800,922800,911000,0.864197530864197,0.944444444444444,0.530864197530864,0.722222222222222,0,0
"9",9,"Census Tract 14.02",0,12.9,12.9,68.4,0.263984070091597,100750,87826,87826,105568,88194,720600,756100,756100,775500,765400,0.771604938271605,0.882716049382716,0.537037037037037,0.833333333333333,0,0
"10",10,"Census Tract 15",63.9,46.9,46.9,53.4,0.249941605839416,179125,179859,179859,204333,180536,851100,849600,849600,896600,840700,0.993827160493827,0.925925925925926,0.746913580246914,0.753086419753086,0,1
"11",11,"Census Tract 16",43,46.5,46.5,27.9,0.248700801424755,133824,135403,135403,140688,137434,716800,710200,710200,709900,701600,0.962962962962963,0.839506172839506,0.518518518518518,0.567901234567901,0,0
"12",12,"Census Tract 17.02",33.3,29.7,29.7,16.3,0.218146073036518,91989,106154,106154,98657,86979,419800,443000,443000,415700,380900,0.759259259259259,0.444444444444444,0.814814814814815,0.444444444444444,0,0
"13",13,"Census Tract 18.03",6.2,20.7,20.7,18.4,0.190340202177294,35350,38000,38000,44335,38821,451600,513200,513200,466900,428400,0.308641975308642,0.561728395061728,0.808641975308642,0.450617283950617,0,0
"14",14,"Census Tract 18.04",0,0,0,12,0.159314855185301,40281,38007,38007,42476,35168,462300,465500,465500,422300,474800,0.259259259259259,0.641975308641975,0.135802469135802,0.376543209876543,0,0
"15",15,"Census Tract 19.01",12.4,12.8,12.8,8,0.205216606498195,48073,53750,53750,78662,52031,400300,387000,387000,379200,403200,0.5,0.5,0.240740740740741,0.320987654320988,0,0
"16",16,"Census Tract 19.02",23.6,30.9,30.9,31.4,0.26155561412757,72273,64196,64196,74625,63191,423400,407100,407100,409300,408700,0.58641975308642,0.524691358024691,0.493827160493827,0.611111111111111,0,0
"17",17,"Census Tract 2.01",0,0.4,0.4,0.2,0.0109581225407532,0,0,0,0,119722,0,0,0,0,916700,0.932098765432099,0.95679012345679,0.00617283950617284,0.172839506172839,0,0
"18",18,"Census Tract 2.02",5.5,11.3,11.3,21.7,0.286503382949932,120114,135893,135893,149375,119688,1e+06,1e+06,1e+06,1e+06,958300,0.925925925925926,0.969135802469136,0.685185185185185,0.518518518518518,0,0
"19",19,"Census Tract 20.01",40.4,34.9,34.9,31,0.188724826388889,43478,47878,47878,49006,38682,654900,753300,753300,675800,728700,0.302469135802469,0.858024691358025,0.209876543209877,0.598765432098765,0,0
"20",20,"Census Tract 20.02",17,12.3,12.3,24.4,0.225090853284223,53373,56808,56808,59840,73500,614400,589600,589600,483300,644000,0.654320987654321,0.808641975308642,0.037037037037037,0.54320987654321,0,0
"21",21,"Census Tract 21.01",9.5,10.9,10.9,13.1,0.0996379919273461,41886,43769,43769,45987,44792,347700,338400,338400,323200,353900,0.438271604938272,0.401234567901235,0.191358024691358,0.382716049382716,0,0
"22",22,"Census Tract 21.02",0,0,0,6.8,0.129726808281796,42522,45046,45046,50142,48875,384700,374900,374900,366300,378300,0.469135802469136,0.438271604938272,0.327160493827161,0.296296296296296,0,0
"23",23,"Census Tract 22.01",11.1,17.6,17.6,23.8,0.129658657513349,70541,60882,60882,68170,68382,415400,377000,377000,367200,407600,0.617283950617284,0.518518518518518,0.154320987654321,0.537037037037037,0,0
"24",24,"Census Tract 22.02",25.3,32.4,32.4,22.4,0.162848557692308,42283,44096,44096,41875,40253,340900,346000,346000,341500,336600,0.351851851851852,0.376543209876543,0.54320987654321,0.530864197530864,1,0
"25",25,"Census Tract 23.01",13.7,14.4,14.4,15.1,0.155781331028522,61500,54167,54167,66509,74700,385000,395600,395600,373400,384600,0.685185185185185,0.45679012345679,0.339506172839506,0.419753086419753,0,0
"26",26,"Census Tract 23.02",13.8,15.3,15.3,5.1,0.20439447102605,43342,54022,54022,60263,73826,336500,337700,337700,305900,291000,0.666666666666667,0.283950617283951,0.709876543209877,0.253086419753086,0,0
"27",27,"Census Tract 24",15.7,26.1,26.1,13.7,0.148391432791728,60082,63342,63342,65227,55486,410000,420600,420600,438400,386600,0.537037037037037,0.469135802469136,0.876543209876543,0.395061728395062,0,0
"28",28,"Census Tract 25.01",20.2,31.3,31.3,27.9,0.122783582089552,48750,32067,32067,30694,51750,588800,585300,585300,593100,607000,0.493827160493827,0.783950617283951,0.37037037037037,0.567901234567901,0,0
"29",29,"Census Tract 25.02",17.5,18.7,18.7,19.6,0.154081896551724,42199,42604,42604,54018,43971,466000,459200,459200,448100,496700,0.41358024691358,0.672839506172839,0.160493827160494,0.481481481481481,0,0
"30",30,"Census Tract 26",42.2,40.5,40.5,29.7,0.30532530765115,144141,126944,126944,126597,140938,874200,869600,869600,863200,842200,0.969135802469136,0.932098765432099,0.598765432098765,0.592592592592593,0,0
"31",31,"Census Tract 27.01",70.8,83.9,83.9,69.5,0.275214487096075,58617,58659,58659,65633,57985,563600,578800,578800,607100,593400,0.549382716049383,0.765432098765432,0.580246913580247,0.845679012345679,0,0
"32",32,"Census Tract 27.02",60.1,49.3,49.3,45.4,0.26632073145675,95490,99524,99524,1e+05,95488,768200,792000,792000,790500,772500,0.833333333333333,0.895061728395062,0.592592592592593,0.703703703703704,0,0
"33",33,"Census Tract 28.01",3.1,4.4,4.4,21.9,0.113441762452107,43661,46393,46393,49232,41458,477900,428000,428000,426500,448600,0.382716049382716,0.598765432098765,0.271604938271605,0.524691358024691,0,0
"34",34,"Census Tract 28.02",23.7,40.5,40.5,35.1,0.14593141852286,41453,45625,45625,46421,39424,360600,361200,361200,439200,411000,0.314814814814815,0.537037037037037,0.759259259259259,0.641975308641975,0,0
